Chainage,Elevation
8371.99150542709, 98.06898584905662
8399.847936657754, 97.41384958071279
8433.27565413455, 96.92249737945494
8456.543967280164, 96.63587526205453
8486.039012112633, 96.06263102725367
8510.94593886005, 95.81695492662475
8535.525142887107, 95.12087264150944
8563.381574117771, 94.87519654088051
8589.271669026271, 94.67046645702307
8611.556814010803, 94.50668238993711
8638.757799800745, 94.42479035639414
8663.992449268524, 94.30195230607967
8691.848880499188, 94.13816823899373
8716.100361805884, 93.81060010482182
8747.234020240156, 93.76965408805032
8775.418174191182, 93.4830319706499
8806.224109905092, 93.4830319706499
8836.04687745792, 93.36019392033543
8864.558754129306, 93.03262578616354
8891.43201719889, 92.54127358490567
8915.355775785225, 92.04992138364781
8943.21220701589, 91.27194706498953
8970.08547008547, 90.24829664570231
9000.235960358661, 88.73329402515725
9019.571600859945, 87.4230214884696
9039.890409522312, 85.98991090146751
9055.621100099628, 84.88436844863733
9071.679513397305, 82.71422955974845
9081.838917728488, 81.24017295597486
9091.670599339312, 80.95355083857444
9099.535944627969, 80.29841457023062
9110.350794399874, 79.80706236897277
9120.510198731059, 79.76611635220127
9135.257721147293, 79.92990041928724
9149.349798122805, 80.0117924528302
9155.248807089298, 80.42125262054509
9164.097320539038, 81.93625524109015
9176.87850663311, 84.43396226415095
9186.05474280321, 86.11274895178198
9197.525038015836, 88.07815775681343
9212.928005872793, 90.04356656184487
9231.280478212993, 92.21370545073376
9245.372555188507, 93.76965408805032
9267.985422893398, 95.81695492662475
9296.169576844424, 98.06898584905662
9322.059671752924, 99.91155660377359
9354.176498348279, 101.79507337526206
9390.553720308322, 103.59669811320755
9415.7883697761, 104.57940251572327
9435.124010277385, 105.07075471698114
9454.45965077867, 104.08805031446542
9480.022022966808, 104.66129454926624
9505.912117875308, 105.562106918239
9529.835876461644, 106.13535115303984
9546.877457920404, 106.50386530398323
9577.355670913954, 107.81413784067087
9600.296261339206, 108.01886792452831
9626.514078968068, 108.14170597484278
9652.404173876566, 108.7558962264151
9677.966546064707, 109.00157232704403
